"date","zip_code","psps_abs","psps_hybrid"
2019-10-06,95942,1,1
2019-10-06,95954,1,1
2019-10-06,95940,1,1
2019-10-06,95958,1,1
2019-10-06,95965,1,1
2019-10-06,95966,1,1
2019-10-06,95967,1,1
2019-10-06,95969,1,1
2019-10-06,95927,1,1
2019-10-06,95973,1,1
2019-10-06,95978,1,1
2019-10-07,95914,1,1
2019-10-07,95916,1,1
2019-10-07,95928,1,1
2019-10-07,95929,1,1
2019-10-07,95930,1,1
2019-10-07,95941,1,1
2019-10-07,95942,1,1
2019-10-07,95954,1,1
2019-10-07,95940,1,1
2019-10-07,95958,1,1
2019-10-07,95965,1,1
2019-10-07,95966,1,1
2019-10-07,95967,1,1
2019-10-07,95969,1,1
2019-10-07,95927,1,1
2019-10-07,95973,1,1
2019-10-07,95978,1,1
2019-10-08,95914,1,1
2019-10-08,95916,1,1
2019-10-08,95928,1,1
2019-10-08,95929,1,1
2019-10-08,95930,1,1
2019-10-08,95941,1,1
2019-10-08,95942,1,1
2019-10-08,95954,1,1
2019-10-08,95940,1,1
2019-10-08,95958,1,1
2019-10-08,95965,1,1
2019-10-08,95966,1,1
2019-10-08,95967,1,1
2019-10-08,95969,1,1
2019-10-08,95927,1,1
2019-10-08,95973,1,1
2019-10-08,95978,1,1
2019-10-09,91041,1,1
2019-10-09,91042,1,1
2019-10-09,91043,1,1
2019-10-09,91304,1,1
2019-10-09,91311,1,1
2019-10-09,91313,1,1
2019-10-09,91321,1,1
2019-10-09,91322,1,1
2019-10-09,91326,1,1
2019-10-09,91342,1,1
2019-10-09,91392,1,1
2019-10-09,91344,1,1
2019-10-09,91394,1,1
2019-10-09,91350,1,1
2019-10-09,91351,1,1
2019-10-09,91386,1,1
2019-10-09,91355,1,1
2019-10-09,91380,1,1
2019-10-09,91382,1,1
2019-10-09,91383,1,1
2019-10-09,91385,1,1
2019-10-09,91360,1,1
2019-10-09,91358,1,1
2019-10-09,91362,1,1
2019-10-09,91381,1,1
2019-10-09,91310,1,1
2019-10-09,91384,1,1
2019-10-09,91387,1,1
2019-10-09,91390,1,1
2019-10-09,91739,1,1
2019-10-09,92336,1,1
2019-10-09,92376,1,1
2019-10-09,92377,1,1
2019-10-09,92407,1,1
2019-10-09,92555,1,1
2019-10-09,92261,1,1
2019-10-09,92561,1,1
2019-10-09,92582,1,1
2019-10-09,92581,1,1
2019-10-09,92583,1,1
2019-10-09,93010,1,1
2019-10-09,93011,1,1
2019-10-09,93012,1,1
2019-10-09,93015,1,1
2019-10-09,93016,1,1
2019-10-09,93020,1,1
2019-10-09,93021,1,1
2019-10-09,93023,1,1
2019-10-09,93024,1,1
2019-10-09,93040,1,1
2019-10-09,93009,1,1
2019-10-09,93060,1,1
2019-10-09,93061,1,1
2019-10-09,93063,1,1
2019-10-09,93064,1,1
2019-10-09,93062,1,1
2019-10-09,93065,1,1
2019-10-09,93094,1,1
2019-10-09,93099,1,1
2019-10-09,93066,1,1
2019-10-09,93203,1,1
2019-10-09,93220,1,1
2019-10-09,93225,1,1
2019-10-09,93241,1,1
2019-10-09,93243,1,1
2019-10-09,93252,1,1
2019-10-09,93255,1,1
2019-10-09,93283,1,1
2019-10-09,93306,1,1
2019-10-09,93303,1,1
2019-10-09,93307,1,1
2019-10-09,93380,1,1
2019-10-09,93383,1,1
2019-10-09,93385,1,1
2019-10-09,93386,1,1
2019-10-09,93387,1,1
